epoch,episode_train,validate_values,evaluate_reward,train_time,test_time,steps_per_second
1,6774,0.6591,1.6667,472,7,529.2685
2,5920,0.8173,7.3,590,19,423.3543
3,2989,1.3545,14.8,646,24,386.6302
4,2150,1.8935,20.1,694,29,359.8182
5,1704,2.1647,29.2,715,31,349.339
6,1380,2.4005,41.7667,714,42,349.6629
7,1147,2.5779,65.3333,715,49,349.5321
8,1067,2.7619,76.3667,715,53,349.1667
9,981,3.0203,103.1333,713,56,350.2501
10,952,3.1603,107.9,713,52,350.3983
11,947,3.229,134.7333,714,58,350.0679
12,961,3.3093,140.4667,713,56,350.4082
13,3259,8.4303,0,711,17,351.4462
14,6745,8.7903,0.5667,709,7,352.3899
15,4492,7.4265,28.8333,713,26,350.5086
16,1368,6.7155,60.6667,715,45,349.4094
17,1032,5.831,117.9333,714,53,349.7907
18,995,5.5006,141.8667,714,58,349.9829
19,979,5.2804,84.0333,714,47,349.9891
20,1068,5.1932,134.4333,713,52,350.5489
21,1179,5.0957,87.4,713,47,350.5002
22,1079,4.7837,153.0333,713,55,350.5066
23,1051,4.9817,129.5333,713,54,350.477
24,1048,4.9294,51.8333,713,41,350.5163
25,1030,4.4985,239.8,713,65,350.3709
26,999,4.7145,172.8,712,58,350.7935
27,1011,4.5939,88.5667,713,46,350.311
28,1010,4.4186,197.1667,713,57,350.5758
29,1087,4.3437,165.8333,713,51,350.4787
30,984,4.237,203.1333,713,61,350.4682
31,961,4.1004,216.9333,712,60,350.6825
32,946,4.0845,70.8667,712,44,350.9872
33,941,4.0088,317.8667,712,73,350.731
34,1020,4.0796,191.6667,712,51,350.9901
35,1025,3.9347,163.4333,712,52,350.7096
36,951,4.106,212.2667,713,61,350.5575
37,1019,4.1178,244.8,712,60,350.7834
38,1013,3.9938,244.7333,712,64,350.9405
39,1014,4.1816,267.3333,712,64,350.9943
40,971,4.1364,228.6,712,61,350.9226
41,911,4.247,244.4333,711,59,351.1832
42,942,4.3671,289.8,712,70,350.7619
43,906,4.3505,153.2,711,50,351.1689
44,994,4.5469,219.6667,713,56,350.1925
45,1101,4.3307,221.7,712,54,350.9937
46,1012,4.4289,215.8333,712,55,350.9375
47,996,4.4124,227.6667,712,53,350.7767
48,989,4.2653,270.6,715,65,349.2982
49,952,4.3816,265.2,713,65,350.5075
50,975,4.5028,240.9333,712,62,350.8873
51,963,4.3633,240.9,712,62,350.6939
52,977,4.3038,301.6667,713,63,350.3599
53,991,4.1741,216.2667,713,57,350.6009
54,1063,4.3851,244.8,712,63,350.8382
55,1062,4.1501,184.6,712,50,350.66
56,977,4.0493,278.4333,712,55,350.8546
57,1025,4.1965,285.3667,712,62,350.8045
58,1021,4.1159,238.7333,713,58,350.5546
59,992,4.1736,251.2667,713,58,350.5504
60,1048,4.304,287.9333,712,63,351.0212
61,1068,4.1441,285.6,712,60,350.6489
62,1082,4.287,257.7667,712,55,350.6896
63,1100,4.1935,47.5,712,31,350.846
64,1151,4.2553,189.8667,712,57,350.8579
65,1134,4.2504,189.2,716,53,348.6814
66,1008,4.1484,239.2333,713,57,350.4409
67,994,4.0318,274.0667,713,61,350.4154
68,1085,4.1299,248.8,713,58,350.4928
69,1123,4.177,70.6333,712,34,350.8812
70,1121,4.1269,251.5333,713,61,350.5744
71,1106,4.1375,160.8333,722,48,346.0928
72,1038,4.2699,251.4667,713,61,350.5333
73,1018,4.511,277.4,711,55,351.338
74,1116,4.4753,213.4,712,51,350.7681
75,1113,4.31,221.1333,711,58,351.4522
76,1124,4.327,284.9,710,65,351.6227
77,1094,4.3918,183.2667,722,49,346.1641
78,1064,4.3851,232.3667,714,61,349.6789
79,1076,4.3156,289.8,712,59,351.0139
80,1156,4.3864,273.1667,713,52,350.5509
81,1034,4.2546,264.4667,711,57,351.2012
82,1077,4.35,233.5,711,58,351.217
83,1092,4.1749,252.7667,711,55,351.2451
84,1046,4.3256,306.3333,712,60,350.9234
85,1051,4.3467,283.1333,711,60,351.3844
86,1057,4.2904,237.7333,710,56,351.8411
87,1063,4.4377,303.7,711,61,351.1408
88,1033,4.5271,233.7333,711,58,351.501
89,1066,4.3989,262.1,711,58,351.2902
90,1042,4.3785,218.7,710,52,351.716
91,1044,4.1999,254.9667,710,62,351.8102
92,1096,4.3089,221.9,711,53,351.4093
93,1104,4.2288,241.7,711,55,351.3037
94,1067,4.248,267.2333,711,57,351.3787
95,1082,4.2232,229.1,711,47,351.3748
96,1142,4.1911,279.0333,711,53,351.2967
97,1137,4.3846,243.6333,711,52,351.3723
98,1180,4.6201,212.5,711,48,351.4681
99,1322,4.7116,283.2667,711,60,351.5714
100,1298,4.6454,182.4,711,43,351.2339
101,1322,4.5389,271.4333,673,53,371.3402
102,1186,4.5193,216.2000,672,48,371.5429
103,1121,4.5115,292.8333,673,60,371.3147
104,1101,4.5614,264.1333,672,62,371.5368
105,1194,4.5992,186.0000,672,46,371.5792
106,1106,4.5548,261.2667,672,58,371.6245
107,1086,4.4040,282.6000,675,55,370.0107
108,1080,4.4339,242.8333,673,60,371.0509
109,1048,4.2249,289.0333,672,60,371.9265
110,1092,4.3403,260.3333,672,57,371.5983
111,1229,4.3672,294.2667,671,57,372.4566
112,1123,4.3099,284.6333,672,58,371.9869
113,1210,4.4004,118.1333,671,37,372.0792
114,1165,4.3385,227.9000,672,50,371.5430
115,1128,4.2172,254.1000,671,57,372.3218
116,1135,4.3515,309.6667,673,56,371.4028
117,1115,4.4430,281.2667,673,58,371.1537
118,1248,4.4891,183.3667,672,56,371.9289
119,1140,4.5700,272.8000,672,62,371.9641
120,1165,4.6317,295.6333,672,57,371.5216
121,1067,4.7951,231.7333,670,52,372.7737
122,1037,4.8542,244.4000,671,58,372.5174
123,1096,4.9627,305.8667,671,62,372.3365
124,1127,4.8205,252.0333,673,52,371.4143
125,1124,5.0394,261.3000,673,55,371.1859
126,1091,4.9583,281.1333,671,61,372.1575
127,1126,4.9878,300.1000,671,61,372.2823
128,1104,5.1290,139.6667,670,36,372.5986
129,1087,5.1674,298.0333,671,57,372.5289
130,1190,5.0695,178.6667,670,42,372.8381
131,1192,5.0665,146.5000,670,40,372.8539
132,1201,4.9932,215.1333,671,45,372.2556
133,1341,5.1003,133.2000,671,44,372.5613
134,1204,5.0313,243.5333,670,48,372.8204
135,1228,4.9291,298.8667,672,58,371.9610
136,1222,4.8195,228.1000,671,49,372.2453
137,1258,4.6953,263.3333,670,56,372.7113
138,1243,4.8233,234.8000,670,49,372.6380
139,1144,4.6122,176.6667,669,48,373.1898
140,1096,4.7326,304.8667,670,56,372.8328
141,1036,4.7553,319.6667,670,61,372.7500
142,1072,4.8872,195.3667,670,39,372.7275
143,1145,4.6135,261.0333,670,54,372.5822
144,1083,4.6515,340.4333,671,68,372.5306
145,1043,4.7929,268.8000,670,61,372.9866
146,1119,4.7834,193.2000,670,42,373.0215
147,1071,4.5795,288.9333,669,58,373.2306
148,1064,4.6375,326.2667,671,60,372.2897
149,1162,4.7680,317.8000,670,61,372.7263
150,1087,4.7445,321.2333,670,66,372.7850
151,1126,4.7156,207.0333,670,50,372.7336
152,1076,4.7265,308.9000,672,62,371.9631
153,1082,4.7840,272.4667,670,60,372.6520
154,1006,4.7424,310.6667,670,69,372.6713
155,1076,4.7796,294.0667,671,60,372.3628
156,1023,4.7464,323.9667,670,62,372.6028
157,1096,4.8898,255.8333,671,54,372.0888
158,1257,4.7514,304.6333,671,63,372.4011
159,1068,4.8181,330.5667,670,70,372.6547
160,1051,5.0136,330.9333,671,58,372.5071
161,1071,4.9365,256.8000,670,52,372.8864
162,1155,5.0713,171.3667,671,54,372.5647
163,1165,5.0206,332.6333,670,61,372.6494
164,1120,4.9991,246.7000,670,53,372.7819
165,1110,5.2804,328.3000,671,60,372.1117
166,1129,5.2233,299.0333,670,60,372.8061
167,1066,5.1260,224.2667,671,47,372.3071
168,1033,5.1969,322.2000,671,66,372.1704
169,1066,5.1515,337.9667,670,61,372.7022
170,1039,5.0029,350.8333,671,59,372.2967
171,1094,5.0937,317.6667,670,59,372.8442
172,1075,5.1791,346.0667,671,61,372.2535
173,1075,5.3017,363.7000,671,69,372.5257
174,1079,5.1592,233.4333,669,44,373.1364
175,1051,5.0969,377.6000,671,74,372.5247
176,1084,4.9797,307.3333,670,58,372.8770
177,1087,4.8856,363.8000,671,74,372.3880
178,1008,4.9031,307.0333,670,65,372.6064
179,1020,5.1959,314.8333,671,55,372.1877
180,1040,5.1922,199.7333,671,48,372.5261
181,1079,5.2202,305.0333,671,62,372.2093
182,1076,5.1318,320.6667,669,57,373.4877
183,1062,4.9936,328.7667,670,61,372.8730
184,1117,5.0101,249.7333,671,52,372.5308
185,1075,4.9695,320.5000,671,56,372.5074
186,1031,5.1932,322.1000,668,63,373.7797
187,1084,5.4689,118.0667,670,43,372.6712
188,1196,5.2274,206.0667,670,53,372.5898
189,1136,5.3209,267.4667,671,54,372.4004
190,1129,5.1752,320.9000,672,58,371.4787
191,1114,5.1971,221.0333,671,41,372.5272
192,1195,5.1474,289.0333,671,51,372.5585
193,1167,5.0552,321.6667,671,51,372.2683
194,1122,5.0602,242.1667,671,47,372.0807
195,1106,5.0251,179.7667,672,45,371.9471
196,1055,5.0266,312.0000,671,60,372.5353
197,1067,4.9846,308.9000,671,63,372.4306
198,1044,4.9999,300.6333,669,61,373.1641
199,1157,5.2054,199.3333,671,48,372.4236
200,1132,5.1795,317.6667,670,55,372.9447
